task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_proxy,large,42,0,0.08188762038521587,0.042324528834927024,0.23888505454859715,0.05292093402854132,0.0003,0.8,"[0.041091033342969485, 0.12489754312877255, 0.028810123874216886, 0.08151454942954206, 0.13312485215057834]","[0.23986904554708943, 0.30185814344026984, 0.16680148869248157, 0.1939203066701669, 0.29197628839297807]"
strike,contact_force_proxy,large,42,1,0.10090286821573828,0.043141237015196295,0.21443663804603658,0.06636047466743052,0.001,0.8,"[0.0909883876545351, 0.1434667828438626, 0.03125014324483233, 0.08891087467528791, 0.14989815266017348]","[0.16625567893627846, 0.11809866664601709, 0.28501155909081677, 0.21465625722419668, 0.2881610283328738]"
strike,contact_force_proxy,large,42,2,0.1327675975595969,0.043018279199147955,0.322598899305778,0.03717520974170599,0.001,0.8,"[0.1190434874546148, 0.1377866874930902, 0.09710373775358494, 0.09671498056203809, 0.2131890945346565]","[0.293139083885955, 0.3823537421025357, 0.2924905152266861, 0.294533029285735, 0.350478126027978]"
strike,contact_force_proxy,large,42,3,0.12280462772892002,0.051072892491852366,0.3158195478479561,0.06615989988071566,0.005,0.8,"[0.14440914551530049, 0.11112530391437425, 0.09692179159743752, 0.054488640446648806, 0.20707825717083905]","[0.29681218692518574, 0.3880181378502101, 0.2148500161595932, 0.2898312685644562, 0.38958612974033513]"
strike,contact_force_proxy,large,42,4,0.15417153724529606,0.051953611946914065,0.2584381122773821,0.03638137179162217,0.003,0.8,"[0.1653927968955894, 0.1520605893191509, 0.11941442448113748, 0.09009051619907049, 0.24389935933153206]","[0.24663085129175266, 0.2342293953504554, 0.22119771284316259, 0.26487978145146707, 0.32525282045007264]"
strike,contact_force_proxy,large,42,5,0.16638329879286679,0.051891454400397705,0.24500449789319018,0.08157725747505955,0.003,0.8,"[0.19311082435550408, 0.14613201347384297, 0.12857576190683562, 0.10987240972437873, 0.2542254845037726]","[0.17903804409263924, 0.2372195346926842, 0.1354854775194113, 0.3305724447351506, 0.3427069884260655]"
strike,contact_force_proxy,large,42,6,0.15902467745910615,0.05573102201627576,0.3054923948168803,0.061903466724124646,0.0003,0.8,"[0.2295715138160066, 0.14962440641439645, 0.09207963707197664, 0.10730677817039236, 0.21654105182275862]","[0.2275000783262776, 0.3491049113768493, 0.26298830598567213, 0.2873075823282908, 0.4005610960673115]"
strike,contact_force_proxy,large,42,7,0.14914802842976232,0.05434140719905769,0.30449691388453537,0.09789833432743862,0.005,0.8,"[0.1415959345839073, 0.15028975230836772, 0.13924479985675886, 0.07222996554260419, 0.24237968985717362]","[0.20176568772519654, 0.3024487067254794, 0.22442573229616303, 0.48018761121571885, 0.313656831460119]"
strike,contact_force_proxy,large,42,8,0.15007475077151405,0.038502908978081354,0.3179958936690526,0.06298269679722605,0.0003,0.8,"[0.11917515353327679, 0.1388397241942998, 0.14649382419499557, 0.12158284116696061, 0.22428221076803756]","[0.24997641125793135, 0.38088776643004774, 0.2473693844563951, 0.31467455649031795, 0.3970713497105708]"
strike,contact_force_proxy,large,42,9,0.15833021461857882,0.05813931849445834,0.3480721670872962,0.06603101479369465,0.005,0.8,"[0.12184485186312288, 0.15565459701239936, 0.10295871462627781, 0.14223888532789175, 0.26895402426320236]","[0.21872769050174912, 0.3918717161522356, 0.3968245884183119, 0.37348403171822986, 0.3594528086459545]"
strike,contact_force_proxy,large,42,10,0.14797918832828139,0.06419927711788909,0.3040407025834323,0.07736708859740746,0.0001,0.8,"[0.11144445110006318, 0.11047948114716755, 0.10826743098974734, 0.1347787636296217, 0.27492581477480715]","[0.22063922054982466, 0.3104147876256764, 0.43901176722708735, 0.23610752109626343, 0.31403021641830964]"
strike,contact_force_proxy,large,42,11,0.1434673974928553,0.03990553304051172,0.2719919040401678,0.0655549362847553,0.0001,0.8,"[0.140930841003981, 0.14911539595597412, 0.14469006987662325, 0.07839947931265123, 0.20420120131504693]","[0.2506259636010789, 0.2717658579210762, 0.3968508763102585, 0.22773729061952597, 0.2129795317488995]"
strike,contact_force_proxy,large,42,12,0.15884862812534986,0.030399799369439328,0.318022899837542,0.058445934509701154,0.001,0.8,"[0.15890694016463025, 0.19206893561861726, 0.13912288985489318, 0.11310937360270423, 0.19103500138590435]","[0.25602834614070213, 0.29763875727817735, 0.42341838108394525, 0.27961000321388585, 0.3334190114709995]"
strike,contact_force_proxy,large,42,13,0.16296632149945695,0.04314656558915263,0.36283419582667953,0.04330602276447195,0.003,0.8,"[0.1376757799954187, 0.20188291448388385, 0.12354224335259034, 0.12454774094940957, 0.22718292871598234]","[0.3506486036170189, 0.3815822546738382, 0.43252483295570376, 0.30111710717668905, 0.34829818071014806]"
strike,contact_force_proxy,large,42,14,0.1698648707303609,0.03069543011614,0.33934347275888976,0.08604506260340429,0.001,0.8,"[0.14655818746190663, 0.2172516945104771, 0.12977587504748556, 0.16819807036078283, 0.18754052627115247]","[0.21097549026192397, 0.3640945457177739, 0.47222122900627794, 0.2943550787149066, 0.3550710200935665]"
strike,contact_force_proxy,large,42,15,0.17278559219710563,0.03985911958624765,0.34978437455336164,0.06670372347826749,0.005,0.8,"[0.1361082889825158, 0.21871750424713476, 0.12380105383940909, 0.16715483861917801, 0.21814627529729047]","[0.37465669037066274, 0.3935773752659394, 0.4353799542026684, 0.25707093375866086, 0.2882369191688767]"
strike,contact_force_proxy,large,42,16,0.19024748047210577,0.042108920385522934,0.35576969094573896,0.06421260703639774,0.001,0.8,"[0.17146047995011537, 0.21425638698459104, 0.14933477398518713, 0.15505675752343184, 0.2611290039172035]","[0.35697178313908573, 0.39741599006825923, 0.4188288399792771, 0.37099133946262197, 0.23464050207945064]"
strike,contact_force_proxy,large,42,17,0.19141010808219522,0.05217426310701644,0.32078228060714087,0.040416588166566736,0.003,0.8,"[0.19388763960428335, 0.2210205083971547, 0.12523100429611356, 0.146137651307491, 0.2707737368059334]","[0.26414747331953214, 0.36178896846774933, 0.3548657862418806, 0.3427512792584526, 0.28035789574808967]"
strike,contact_force_proxy,large,42,18,0.19672763299590998,0.03182072121700798,0.34253354069553177,0.10433757586768985,0.0003,0.8,"[0.19622687203697042, 0.18317040037672672, 0.18368332845975854, 0.16368843426697288, 0.25686912983912136]","[0.19870967586888322, 0.46193880612418725, 0.43992792295746397, 0.36662753205653165, 0.24546376647059276]"
strike,contact_force_proxy,large,42,19,0.2012762851108242,0.022940106574739938,0.35717376810285967,0.05080610778665543,0.005,0.8,"[0.17920285932781954, 0.19811568384532796, 0.18481497888900467, 0.19983278857136733, 0.24441511492060142]","[0.3033392279859426, 0.3453111231225917, 0.43942461675861655, 0.38740153925245113, 0.31039233339469663]"
strike,contact_force_proxy,large,42,20,0.20781274008855172,0.0377111021365241,0.41034410366600815,0.07790111025280108,0.005,0.8,"[0.172100971865636, 0.21773852786827608, 0.19621369768320818, 0.17699047231666554, 0.27602003070897274]","[0.27575794514721663, 0.5171592839596749, 0.42607814094971475, 0.4005512777916528, 0.43217387048178124]"
strike,contact_force_proxy,large,42,21,0.21246830346199658,0.0302120184806937,0.35074233331658283,0.07547242102629668,0.003,0.8,"[0.2024264410931368, 0.21468995055840645, 0.19450820374879418, 0.18175124775766405, 0.26896567415198125]","[0.2478247042717101, 0.47859413460608535, 0.34205777707114127, 0.3684522276514818, 0.3167828229824958]"
strike,contact_force_proxy,large,42,22,0.19812736737488584,0.03385618237709602,0.35802734980452067,0.04499578701638041,0.005,0.8,"[0.22753036341973387, 0.20124504076391836, 0.17899752822882387, 0.1445206452340002, 0.23834325922795285]","[0.27912002353618326, 0.38215507566364226, 0.3546966322107451, 0.415499869197797, 0.3586651484142358]"
strike,contact_force_proxy,large,42,23,0.20112194577763232,0.032100291302980734,0.34107445430411004,0.03193847989494449,0.005,0.8,"[0.2219603097097005, 0.20166457385076053, 0.19384443573401444, 0.14629366558597723, 0.24184674400770878]","[0.30051393630539425, 0.3719491745581278, 0.3554316992982819, 0.3725387811629588, 0.3049386801957874]"
