task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,large,ee_speed,0,123,0.8112434297264312,0.035836060445534876,0.9930935136577803,0.011176449886455874,0.0001,0.8,"[0.792445965301046, 0.8381917814159294, 0.7497490841463325, 0.8461989081200182, 0.8296314096488291]","[0.999985711364101, 0.999985568804569, 0.9711725901146194, 0.9943393719870772, 0.9999843260185347]",1,1500
push,large,ee_speed,1,123,0.8420000045546265,0.03436097235550605,0.9928611962508626,0.012005237324346517,0.0003,0.8,"[0.8276264853464363, 0.8577159412333514, 0.7843430469782426, 0.8865859829458499, 0.8537285662692524]","[0.9999240976748855, 0.9994184920813988, 0.9690385887495554, 0.9999853565581158, 0.9959394461903576]",1,1500
push,large,ee_speed,2,123,0.851475244334555,0.026746826945289338,0.9947634593395069,0.01024978406631508,0.0001,0.8,"[0.8473569099947688, 0.8763705114539826, 0.8068643690885897, 0.8816414642997781, 0.845142966835656]","[0.9999935652680879, 0.999992349554731, 0.9742664567629676, 0.9999912266918346, 0.9995736984199131]",1,1500
push,large,ee_speed,3,123,0.8550798972285241,0.009926165987227252,0.9911464694338925,0.014944626868521237,0.0001,0.8,"[0.8498555204965615, 0.8656023903838294, 0.8540033067133823, 0.8660946284356911, 0.8398436401131566]","[0.999993145585376, 0.999991637780797, 0.9616013004650956, 0.9999921228721643, 0.9941541404660298]",1,1500
push,large,ee_speed,4,123,0.8558823021869054,0.012881068858086896,0.992473424456312,0.008933994145507593,0.0001,0.8,"[0.8420451695761642, 0.8644881424848546, 0.860699949267129, 0.872532781238637, 0.839645468367743]","[0.99999154737905, 0.9940814399309783, 0.9756381085486905, 0.9999906488921989, 0.9926653775306425]",1,1500
push,large,ee_speed,5,123,0.8857195011821647,0.007419469352076109,0.9946152207527333,0.01008577809357585,0.0001,0.8,"[0.8783003290141189, 0.8987362312282383, 0.8838070854768074, 0.8883666840052338, 0.8793871761864247]","[0.9999360029777136, 0.999253587506326, 0.9744486212422466, 0.9997478436023146, 0.9996900484350657]",1,1500
push,large,ee_speed,6,123,0.8806494268271186,0.016641837979916866,0.9966251159937147,0.004009867598795999,0.0001,0.8,"[0.8495097327150776, 0.8908537278793432, 0.8785562458001531, 0.8876136298962146, 0.8967137978448039]","[0.9910857834364291, 0.9998029673533095, 0.9923960368919413, 0.9998518622978337, 0.9999889299890605]",1,1500
push,large,ee_speed,7,123,0.8907753569941861,0.01788296927967058,0.998471718399425,0.001892688671240487,0.0001,0.8,"[0.86121626008847, 0.8892652051583814, 0.8884994955647859, 0.9164438681555247, 0.8984519560037678]","[0.9968739441001423, 0.9999670094495364, 0.9955485145594356, 0.9999901352883488, 0.9999789885996615]",1,1500
push,large,ee_speed,8,123,0.9104977087149619,0.016652070878118968,0.9991731392270446,0.0013556595820519394,0.0001,0.8,"[0.8827531203044064, 0.9027473372731689, 0.9128055319927488, 0.9265399994851082, 0.9276425545193774]","[0.9999279563017469, 0.9998976606750265, 0.9999029923345686, 0.9964683192121572, 0.9996687676117243]",1,1500
push,large,ee_speed,9,123,0.912952107364602,0.011972701083430638,0.9997483937884869,0.0004517145818753371,0.0001,0.8,"[0.892819425519055, 0.907377893191076, 0.9176248601539616, 0.9191518357637161, 0.9277865221952012]","[0.9999930759438977, 0.9988466777480084, 0.9999905463503564, 0.9999200013426864, 0.9999916675574859]",1,1500
push,large,ee_speed,10,123,0.9097549370719136,0.009603938362312919,0.9982884539105328,0.0028844507615761864,0.0001,0.8,"[0.8935376188891562, 0.9095974162948612, 0.9070418662158831, 0.9213745887858329, 0.9172231951738341]","[0.9999948374090194, 0.9997019609016436, 0.9925461519555536, 0.9999724743645804, 0.9992268449218668]",1,1500
push,large,ee_speed,11,123,0.9066286859150476,0.017895397468453075,0.9999715005308495,2.0419349141873103e-05,0.0001,0.8,"[0.8756616516098765, 0.9218748445421179, 0.8971438682821575, 0.9202799678468233, 0.9181830972942631]","[0.9999899299133307, 0.9999406954514883, 0.9999860393270557, 0.999953353842023, 0.9999874841203498]",1,1500
push,large,ee_speed,12,123,0.9061507262049892,0.013185500574416073,0.9976224443685717,0.0030593459363713327,0.0001,0.8,"[0.8825556294239154, 0.9177133359026979, 0.9036985403543507, 0.9192218061648567, 0.9075643191791248]","[0.9999757197173033, 0.9999807764130012, 0.9999763858220532, 0.9924777887035542, 0.9957015511869468]",1,1500
push,large,ee_speed,13,123,0.9085289014086886,0.01622085811058004,0.9999833776280742,1.4562907110485098e-06,0.0001,0.8,"[0.8782164141953641, 0.9134587211385414, 0.913314546978688, 0.9271162641018645, 0.9105385606289847]","[0.9999809274968395, 0.9999852476810422, 0.9999839453006648, 0.9999827587937598, 0.9999840088680652]",1,1500
push,large,ee_speed,14,123,0.912340399522272,0.011970806089893801,0.9998291863124678,0.0002502119173653387,0.0001,0.8,"[0.8959157570606809, 0.9230752023361724, 0.9151171683095414, 0.9264370038792704, 0.9011568660256946]","[0.9999954510067927, 0.999811468905879, 0.9999944621505096, 0.9993493865467081, 0.9999951629524494]",1,1500
push,large,ee_speed,15,123,0.9046390818085971,0.01562688261004572,0.9999943542434016,3.541720576983732e-07,0.0001,0.8,"[0.8866220680403186, 0.9213382856801293, 0.8944272463826952, 0.9253500270786896, 0.8954577818611528]","[0.9999949415854431, 0.9999943709423431, 0.9999942999427748, 0.9999938265057521, 0.9999943322406948]",1,1500
push,large,ee_speed,16,123,0.9062714527663547,0.013528672164488696,0.9998977957645081,0.00012674592142729814,0.0001,0.8,"[0.8865516005612528, 0.9205134885862654, 0.8954622947587453, 0.9204954840632051, 0.9083343958623049]","[0.9998847797699036, 0.9999944827381124, 0.9999820552413268, 0.9999713184370591, 0.9996563426361391]",1,1500
push,large,ee_speed,17,123,0.9026589139723903,0.012109192824260208,0.9989557538400418,0.002076197678375354,0.0001,0.8,"[0.8867697529509613, 0.9082944745592224, 0.895032068896629, 0.9223442249437896, 0.900854048511349]","[0.9999945399740073, 0.9999939112545017, 0.9999941222950969, 0.9999928370411089, 0.9948033586354942]",1,1500
push,large,ee_speed,18,123,0.9061664759719024,0.015046384843008985,0.9999941439572902,6.346761470904932e-07,0.0001,0.8,"[0.8964664454701626, 0.9013083107591566, 0.8876278483101177, 0.9305537507430469, 0.914876024577028]","[0.9999945687489481, 0.9999939634895636, 0.9999944693639348, 0.9999929836302507, 0.9999947345537535]",1,1500
push,large,ee_speed,19,123,0.9006040910098928,0.013331928359918714,0.9999958580107797,3.362324936199624e-07,0.0001,0.8,"[0.8931301036909244, 0.892405968404774, 0.8856933868633967, 0.9220456408034909, 0.9097453552868777]","[0.9999962452367486, 0.9999958342114386, 0.9999959209696738, 0.9999952448899251, 0.9999960447461125]",1,1500
push,large,ee_speed,20,123,0.9057984546986215,0.012233154816258867,0.9997230422627347,0.00034477432697990865,0.0001,0.8,"[0.8948532672429574, 0.8969516001761673, 0.898063615925727, 0.9270282900418743, 0.912095500106382]","[0.9997871829908437, 0.9997740699795428, 0.9999963846418797, 0.9990611104479453, 0.9999964632534619]",1,1500
push,large,ee_speed,21,123,0.9044544684225799,0.012713870098630599,0.9999927541895381,7.630596398390498e-07,0.0001,0.8,"[0.8988432014576518, 0.8926963990368273, 0.8981341254330977, 0.9289073761974075, 0.9036912399879158]","[0.9999930792212101, 0.9999927417772704, 0.9999932414252338, 0.9999912940219906, 0.9999934145019851]",1,1500
push,large,ee_speed,22,123,0.910811673197068,0.012390379562186412,0.999914808031533,5.053099068565533e-05,0.0001,0.8,"[0.9074707278391585, 0.8957124147118352, 0.9039577180252347, 0.9324471915053678, 0.9144703139037437]","[0.9999953393580387, 0.9999064124395373, 0.9998480899787281, 0.9998825598069948, 0.9999416385743656]",1,1500
push,large,ee_speed,23,123,0.9126192087532876,0.016238754822239743,0.9999934492356835,3.4643089599627457e-07,0.0001,0.8,"[0.8980270676913754, 0.8958074828399746, 0.9116535857452834, 0.9410124899644535, 0.9165954175253509]","[0.9999937788824625, 0.9999938744253483, 0.9999934224695816, 0.9999929354357924, 0.9999932349652324]",1,1500
