target,stage,r2_mean,r2_std,mse_mean,mse_std
contact_flag,stage_0,0.30921550989151003,0.011964683776623849,0.15204302370548245,0.004771758640493755
contact_flag,stage_1,0.4621859908103943,0.007398865609114981,0.11832252442836758,0.0023668165997771462
contact_flag,stage_2,0.4704143524169922,0.010199485363156924,0.1165236726403236,0.0033534733222601596
contact_flag,stage_3,0.4973934292793274,0.028450321055422202,0.11051795035600656,0.005096342607695078
contact_flag,stage_4,0.5092412233352661,0.01279141613615593,0.10802001059055324,0.004891220302198295
contact_force_log1p_mag,stage_0,0.22797316312789911,0.008455445437741382,2.9332162380218505,0.06193594020012701
contact_force_log1p_mag,stage_1,0.36301110982894896,0.0066131854672410294,2.4193145275115966,0.05744267119994241
contact_force_log1p_mag,stage_2,0.37367858886718747,0.02234567790271895,2.3774422645568847,0.04027458608617639
contact_force_log1p_mag,stage_3,0.41340515613555906,0.018723151987058862,2.226897048950195,0.040012036551598025
contact_force_log1p_mag,stage_4,0.42482695579528806,0.004431318028655007,2.184951066970825,0.06848111813589833
ee_acceleration,stage_0,0.0020115593913942,0.00030898079528624597,50.77257461547852,2.0813076444660052
ee_acceleration,stage_1,0.0044246365781873,0.0011549454233386659,50.61686782836914,2.096370597313023
ee_acceleration,stage_2,0.0032929467037319596,0.0012878098709035726,50.67171401977539,2.057233276484083
ee_acceleration,stage_3,-0.35247394740581506,0.3769358269701845,69.2294548034668,21.672092623252798
ee_acceleration,stage_4,-0.14110879823565478,0.11932256772697619,57.96472015380859,6.042748663203797
