task,layer,n_pcs_90,n_pcs_95,n_pcs_99,evr_top1,evr_top10,n_total
push,0,-1,-1,-1,0.14766700565814972,0.5551421046257019,6752
push,1,61,-1,-1,0.49300259351730347,0.7411471605300903,6752
push,2,4,22,-1,0.8342871069908142,0.9302687048912048,6752
push,3,3,17,-1,0.8683839440345764,0.9379900693893433,6752
push,4,3,15,-1,0.8206654191017151,0.9425041079521179,6752
push,5,3,12,-1,0.8289310932159424,0.9473952054977417,6752
push,6,7,22,-1,0.7675825357437134,0.9231708645820618,6752
push,7,9,33,-1,0.7519055008888245,0.9086069464683533,6752
push,8,15,63,-1,0.7219913005828857,0.8802736401557922,6752
push,9,28,-1,-1,0.5352120399475098,0.8237886428833008,6752
push,10,30,-1,-1,0.5525441765785217,0.8192617893218994,6752
push,11,36,-1,-1,0.5516186952590942,0.8032912015914917,6752
push,12,46,-1,-1,0.4791330397129059,0.7775644659996033,6752
push,13,45,-1,-1,0.47284066677093506,0.7780041694641113,6752
push,14,40,-1,-1,0.48637014627456665,0.7910321950912476,6752
push,15,36,-1,-1,0.4823648929595947,0.8041873574256897,6752
push,16,37,-1,-1,0.4627751111984253,0.802129328250885,6752
push,17,33,-1,-1,0.44151100516319275,0.8089140057563782,6752
push,18,32,-1,-1,0.4522046148777008,0.8151150345802307,6752
push,19,31,-1,-1,0.4301321804523468,0.8211825489997864,6752
push,20,29,-1,-1,0.42725932598114014,0.8242724537849426,6752
push,21,32,-1,-1,0.39134594798088074,0.8112031817436218,6752
push,22,30,-1,-1,0.33120569586753845,0.8006650805473328,6752
push,23,27,-1,-1,0.28628066182136536,0.799545407295227,6752
strike,0,-1,-1,-1,0.22188465297222137,0.5506702661514282,5400
strike,1,22,-1,-1,0.747174859046936,0.8614712953567505,5400
strike,2,1,4,-1,0.9261742830276489,0.9660789370536804,5400
strike,3,1,3,-1,0.939437210559845,0.9699641466140747,5400
strike,4,1,3,-1,0.9277322888374329,0.9718418717384338,5400
strike,5,1,3,-1,0.9244222044944763,0.9731858968734741,5400
strike,6,3,9,-1,0.8591327667236328,0.955785870552063,5400
strike,7,4,12,-1,0.8474712371826172,0.9449473023414612,5400
strike,8,7,29,-1,0.8171958923339844,0.9178850650787354,5400
strike,9,20,59,-1,0.6908552646636963,0.8589170575141907,5400
strike,10,20,-1,-1,0.6973336935043335,0.8566517233848572,5400
strike,11,24,-1,-1,0.6887943744659424,0.8456802368164062,5400
strike,12,33,-1,-1,0.6161338686943054,0.8150416016578674,5400
strike,13,32,-1,-1,0.625015914440155,0.8198025226593018,5400
strike,14,27,-1,-1,0.6470930576324463,0.8370129466056824,5400
strike,15,24,-1,-1,0.6527004837989807,0.8443044424057007,5400
strike,16,25,-1,-1,0.6484469771385193,0.8436391353607178,5400
strike,17,23,-1,-1,0.6290782690048218,0.8461896181106567,5400
strike,18,22,-1,-1,0.6404106616973877,0.8517209887504578,5400
strike,19,21,-1,-1,0.6223709583282471,0.8535273671150208,5400
strike,20,20,-1,-1,0.6109487414360046,0.8548839688301086,5400
strike,21,23,-1,-1,0.5712146759033203,0.8426863551139832,5400
strike,22,22,-1,-1,0.5175641179084778,0.8381014466285706,5400
strike,23,19,59,-1,0.45762899518013,0.8517454266548157,5400
reach,0,32,-1,-1,0.17595180869102478,0.7179644107818604,7050
reach,1,17,36,-1,0.5967086553573608,0.8493198156356812,7050
reach,2,4,13,-1,0.7861570119857788,0.9421308636665344,7050
reach,3,3,12,-1,0.8318697810173035,0.9446005821228027,7050
reach,4,3,12,-1,0.790263831615448,0.9468328356742859,7050
reach,5,3,10,-1,0.8171550631523132,0.9506496787071228,7050
reach,6,8,22,-1,0.7379639148712158,0.9180727005004883,7050
reach,7,12,33,-1,0.7019811868667603,0.8913432955741882,7050
reach,8,25,-1,-1,0.6184751391410828,0.8446763157844543,7050
reach,9,39,-1,-1,0.4550519287586212,0.752658486366272,7050
reach,10,42,-1,-1,0.45753955841064453,0.7433964014053345,7050
reach,11,48,-1,-1,0.43048974871635437,0.7316383123397827,7050
reach,12,50,-1,-1,0.35129308700561523,0.721528947353363,7050
reach,13,50,-1,-1,0.35970431566238403,0.7247878313064575,7050
reach,14,52,-1,-1,0.36331528425216675,0.7194033861160278,7050
reach,15,49,-1,-1,0.3912387192249298,0.7368786334991455,7050
reach,16,52,-1,-1,0.388467013835907,0.7302120327949524,7050
reach,17,53,-1,-1,0.3746653199195862,0.72452712059021,7050
reach,18,54,-1,-1,0.3864637017250061,0.7288820743560791,7050
reach,19,56,-1,-1,0.3674367368221283,0.7275161147117615,7050
reach,20,55,-1,-1,0.3453766107559204,0.7347850799560547,7050
reach,21,56,-1,-1,0.29345452785491943,0.7315213084220886,7050
reach,22,46,-1,-1,0.22855539619922638,0.7561907768249512,7050
reach,23,30,-1,-1,0.26609742641448975,0.8088496923446655,7050
drawer,0,22,58,-1,0.5511830449104309,0.8517875075340271,8400
drawer,1,17,52,-1,0.5351442694664001,0.8733039498329163,8400
drawer,2,2,5,-1,0.8629860877990723,0.9646360874176025,8400
drawer,3,2,5,-1,0.8709537386894226,0.9661327600479126,8400
drawer,4,4,14,-1,0.7667016983032227,0.9425332546234131,8400
drawer,5,5,19,-1,0.7399107813835144,0.9314494729042053,8400
drawer,6,11,34,-1,0.71073317527771,0.8963925242424011,8400
drawer,7,15,49,-1,0.696631133556366,0.8780837655067444,8400
drawer,8,27,-1,-1,0.6776807308197021,0.8482886552810669,8400
drawer,9,47,-1,-1,0.5890752673149109,0.7875826358795166,8400
drawer,10,52,-1,-1,0.58244389295578,0.7783956527709961,8400
drawer,11,58,-1,-1,0.5747247338294983,0.7751638889312744,8400
drawer,12,-1,-1,-1,0.5481300354003906,0.7590392827987671,8400
drawer,13,-1,-1,-1,0.534431517124176,0.7620012164115906,8400
drawer,14,-1,-1,-1,0.5399919152259827,0.7728374600410461,8400
drawer,15,-1,-1,-1,0.5309203863143921,0.7750324010848999,8400
drawer,16,-1,-1,-1,0.5330243110656738,0.7766298651695251,8400
drawer,17,-1,-1,-1,0.5406301021575928,0.7791534662246704,8400
drawer,18,-1,-1,-1,0.5461044907569885,0.7823600172996521,8400
drawer,19,-1,-1,-1,0.5448276996612549,0.7779337167739868,8400
drawer,20,-1,-1,-1,0.5328513383865356,0.7752206325531006,8400
drawer,21,-1,-1,-1,0.5105164647102356,0.7605456709861755,8400
drawer,22,-1,-1,-1,0.48581671714782715,0.7516521215438843,8400
drawer,23,-1,-1,-1,0.4848896265029907,0.7538291811943054,8400
peg_insert,0,43,-1,-1,0.31034955382347107,0.7202121019363403,3870
peg_insert,1,28,-1,-1,0.386308878660202,0.8020114898681641,3870
peg_insert,2,6,21,-1,0.7018883228302002,0.9258025884628296,3870
peg_insert,3,9,30,-1,0.7130281329154968,0.9076986312866211,3870
peg_insert,4,22,-1,-1,0.5839341878890991,0.8518162369728088,3870
peg_insert,5,28,-1,-1,0.48548242449760437,0.8228629231452942,3870
peg_insert,6,40,-1,-1,0.38516154885292053,0.7899783849716187,3870
peg_insert,7,55,-1,-1,0.35312679409980774,0.7624906301498413,3870
peg_insert,8,-1,-1,-1,0.28023412823677063,0.7214399576187134,3870
peg_insert,9,-1,-1,-1,0.2072027325630188,0.6899497509002686,3870
peg_insert,10,-1,-1,-1,0.20118556916713715,0.675005316734314,3870
peg_insert,11,-1,-1,-1,0.2015865296125412,0.6703938245773315,3870
peg_insert,12,-1,-1,-1,0.2874501049518585,0.6853808164596558,3870
peg_insert,13,-1,-1,-1,0.2784382700920105,0.693813145160675,3870
peg_insert,14,-1,-1,-1,0.26367664337158203,0.6931731700897217,3870
peg_insert,15,-1,-1,-1,0.2519243359565735,0.6905931830406189,3870
peg_insert,16,-1,-1,-1,0.23519040644168854,0.6817253828048706,3870
peg_insert,17,-1,-1,-1,0.22119472920894623,0.697620689868927,3870
peg_insert,18,-1,-1,-1,0.21535749733448029,0.7063953876495361,3870
peg_insert,19,-1,-1,-1,0.2073291391134262,0.7118107676506042,3870
peg_insert,20,-1,-1,-1,0.21962475776672363,0.7124722599983215,3870
peg_insert,21,-1,-1,-1,0.2378092259168625,0.7133495211601257,3870
peg_insert,22,-1,-1,-1,0.24692678451538086,0.7240052819252014,3870
peg_insert,23,57,-1,-1,0.25832730531692505,0.7398567199707031,3870
nut_thread,0,25,51,-1,0.24941426515579224,0.76521897315979,3870
nut_thread,1,27,57,-1,0.2938171923160553,0.7616009712219238,3870
nut_thread,2,13,33,-1,0.44813272356987,0.8857678174972534,3870
nut_thread,3,21,53,-1,0.4799965023994446,0.851168692111969,3870
nut_thread,4,49,-1,-1,0.33899205923080444,0.7728164196014404,3870
nut_thread,5,60,-1,-1,0.2895066738128662,0.7431822419166565,3870
nut_thread,6,-1,-1,-1,0.2654246985912323,0.6873830556869507,3870
nut_thread,7,-1,-1,-1,0.236293226480484,0.6463136076927185,3870
nut_thread,8,-1,-1,-1,0.17786619067192078,0.5789667963981628,3870
nut_thread,9,-1,-1,-1,0.13372541964054108,0.5515518188476562,3870
nut_thread,10,-1,-1,-1,0.14298994839191437,0.5445619225502014,3870
nut_thread,11,-1,-1,-1,0.15481901168823242,0.544434666633606,3870
nut_thread,12,-1,-1,-1,0.15283359587192535,0.5430881977081299,3870
nut_thread,13,-1,-1,-1,0.17774391174316406,0.5748493671417236,3870
nut_thread,14,-1,-1,-1,0.17996716499328613,0.5717321634292603,3870
nut_thread,15,-1,-1,-1,0.17842824757099152,0.5746644139289856,3870
nut_thread,16,-1,-1,-1,0.18702828884124756,0.589625358581543,3870
nut_thread,17,-1,-1,-1,0.1901051253080368,0.6109277009963989,3870
nut_thread,18,-1,-1,-1,0.19774115085601807,0.6375352144241333,3870
nut_thread,19,-1,-1,-1,0.19403617084026337,0.6577433943748474,3870
nut_thread,20,-1,-1,-1,0.2028045952320099,0.676047682762146,3870
nut_thread,21,-1,-1,-1,0.2150123417377472,0.6916308403015137,3870
nut_thread,22,-1,-1,-1,0.22308437526226044,0.7206345796585083,3870
nut_thread,23,-1,-1,-1,0.2345535308122635,0.7517171502113342,3870
